S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
1,My brethren count it all joy when ye fall into divers temptation;,JAMES 1:2,JAMES 1:3,JAMES 1:4,JAMES 1:5,1
2,"Knowing this, that the trying of your faith worketh patience.",JAMES 1:2,JAMES 1:3,JAMES 1:4,JAMES 1:5,2
3,"But let patience have her perfect work, that ye may be perfect and entire, wanting nothing.",JAMES 1:2,JAMES 1:3,JAMES 1:4,JAMES 1:5,3
4,"If any of you lack wisdom let him ask of God, that giveth to all men liberally, and upbraideth not; and it shall be given him.",JAMES 1:2,JAMES 1:3,JAMES 1:4,JAMES 1:5,4
5,A double minded man is unstable in all his ways.,JAMES 1:5,JAMES 1:8,JAMES 1:12,JAMES 1:13,2
6,"Blessed is the man that endureth temptation: for when he is tried, he shall receive the crown of life, which the Lord hath promised to them that love him.",JAMES 1:5,JAMES 1:8,JAMES 1:12,JAMES 1:13,3
7,"Let no man say when he is tempted, I am tempted of God: for God cannot be tempted with evil, neither tempteth he any man:",JAMES 1:5,JAMES 1:8,JAMES 1:12,JAMES 1:13,4
8,"But every man is tempted, when he is drawn away of his own lust, and enticed.",JAMES 1:14,JAMES 1:15,JAMES 1:16,JAMES 1:17,1
9,"Then when lust hath conceived, it bringeth forth sin: and sin, when it is finished, bringeth forth death.",JAMES 1:14,JAMES 1:15,JAMES 1:16,JAMES 1:17,2
10,"Do not err, my beloved brethren.",JAMES 1:14,JAMES 1:15,JAMES 1:16,JAMES 1:17,3
11,"Every good gift and every perfect gift is from above, and cometh down from the Father of lights, with whom is no variableness, neither shadow of turning.",JAMES 1:14,JAMES 1:15,JAMES 1:16,JAMES 1:17,4
12,"Wherefore, my beloved brethren, let every man be swift to hear, slow to speak, slow to wrath: ",JAMES 1:19,JAMES 1:20,JAMES 1:21,JAMES 1:22,1
13,For the wrath of man worketh not the righteousness of God.,JAMES 1:19,JAMES 1:20,JAMES 1:21,JAMES 1:22,2
14,"Wherefore lay apart all fithiness and superfluity of naughtiness, and receive with meekness the engrafted word, which is able to save your souls.",JAMES 1:19,JAMES 1:20,JAMES 1:21,JAMES 1:22,3
15,"But be ye doers of the word, and not hearers only, deceiving your own selves.",JAMES 1:21,JAMES 1:22,JAMES 1:23,JAMES 1:25,2
16,"For if any be a hearer of the word, and not a doer, he is like unto a man beholding his natural face in a glass:",JAMES 1:21,JAMES 1:22,JAMES 1:23,JAMES 1:25,3
17,"But whoso looketh into the perfect law of liberty, and continueth therein, he being not a forgetful hearer, but a doer of the work, this man shall be blessed in his deed.",JAMES 1:21,JAMES 1:22,JAMES 1:23,JAMES 1:25,4
18,"If any man among you seem to be religious, and bridleth not his tongue, but deceiveth his own heart, this man's religion is vain.",JAMES 1:23,JAMES 1:25,JAMES 1:26,JAMES 1:27,3
19,"Pure religion and undefiled before God and the Father is this, To visit the fatherless and widows in their affliction, and to keep himself unspotted from the world.",JAMES 1:23,JAMES 1:25,JAMES 1:26,JAMES 1:27,4
20,"If ye fulfil the royal law according to the scripture, Thou shalt love thy neighbour as thyself, ye do well:",JAMES 2:8,JAMES 2:10,JAMES 2:13,JAMES 2:17,1
21,"For whosoever shall keep the whole law, and yet offend in one point, he is guilty of all.",JAMES 2:8,JAMES 2:10,JAMES 2:13,JAMES 2:17,2
